432765859962970113	N
417142922203525120	NONE
421189459703394304	NONE
421906328882118656	N
422852293193502720	NONE
417150706924421120	NONE
416811590218829824	NONE
437840809652523008	N
433839277814726656	P
430504459550982145	N
431274640942440448	N
429077662280085504	P
432182786296782850	P
435892402234982400	P
431293530980753409	N
437291305987633152	P
425124356860026880	N
429102189416427520	N
424420573498724352	P
429122078248169472	NONE
438938146898579457	P
421922642799497216	NONE
418874995029192704	N
425757808416419840	P
438155080521359362	NONE
422851892377440256	NONE
432767022242340864	NONE
432746334588661760	P
438125036348522496	P
428404004410761216	N
434189307931148288	NONE
431126770733948928	P
432763905455042560	NONE
436346989241176065	P
435448005005565952	P
417480532016918528	P
435313585149857793	P
432700580369145857	NONE
422140196428054529	P
415955172234240000	NONE
422899896082243584	NONE
414929917189451776	N
420946220635283458	N
418998894735798272	P
422636132602372096	P
431221030221144064	NONE
432939692367937536	NONE
427696849252663296	NONE
435910665744551936	NONE
436058713120444416	NONE
433095502918197248	P
430121200702865408	P
433223935195234304	N
418333566917816320	NONE
436766182406758400	P
420102315933057024	P
430767736445104128	NONE
416488785753300992	P
431274289523068929	N
422609023997722625	P
435856775489671168	P
433783939082096640	N
429456868553945088	P
435568143419711489	P
425462772239847425	NONE
424362513107406848	NONE
422743172087681025	N
411210103074078720	P
432213759348580352	NONE
421412338982322176	N
425126910071672833	N
423221190057263104	NONE
420082603027218433	P
426869110786367488	P
417692091360481280	N
433410899861192704	P
413016945470881792	P
439182342007955456	NONE
428694741564157952	P
435325228189622275	P
418055606717538304	N
420102609739866112	N
427913185836818432	NONE
426794025249538048	P
418352703484358656	P
431631637961404416	P
421906770928205824	NONE
425134729344462848	P
437974457521426432	N
423105141416271873	N
425846003942428672	P
432785265673793536	N
430939788485484544	P
424719560009199616	NONE
437310957539184640	N
426722137362014208	N
439974949441110016	NONE
427142311206604800	P
437612621793988609	NONE
422877677574311936	N
430495018982195200	P
434372116205416448	P
423528038635016193	P
432552850451726337	N
423536282619240448	NONE
438904171962445824	P
435323252097835008	NONE
436707612478824449	N
429462609151012865	P
438076092813832192	NONE
420081806839255040	P
434440152253886465	N
416044943732256768	P
436414560182865920	N
424976937933479936	P
429878495531905024	P
417823642634833920	P
435317487022780416	N
428027718056177664	NONE
416231124491173888	P
436718974751883264	P
431829869974921216	P
436409792106491904	NONE
418333433492811776	NONE
423998838743916544	N
431663721039933441	N
412420963431497728	NONE
437817721799983105	P
429457825580863488	P
420423564475375617	N
414929005498732544	N
431271696088449024	P
435469168297533440	NONE
435228450744320000	P
431799920098439169	NONE
424231202426351616	P
428946931818041344	N
435320983822409729	N
421922819094482944	N
431636224923541505	NONE
430930079669968897	P
435511906527244288	N
433066662246367232	P
430545411179163648	P
436383949246316544	P
430384495955415041	NONE
413106998150823936	NONE
426187828834598912	NONE
428027553354223617	P
425319704924680192	N
436739291427770368	NONE
422948955702321152	NONE
432609853765197824	P
438118316779925504	P
418202529021710336	NONE
424462895515041792	N
423240699484442624	P
433059150818336768	P
436562619025985536	P
425344386797281280	P
437321353314582528	P
419000704632508417	N
427659985527390208	P
420461808508366848	N
417423843121037312	NONE
439419667170344961	P
431676139250020353	NONE
435923359860543489	N
432744261428060160	P
428036341675606016	NONE
418072534542602241	NONE
433757078985773057	P
421771328408928256	P
431650649000771584	N
433817555774365696	NONE
425110416977440768	P
428042461798092800	NONE
432553606265311233	NONE
439261996223967233	NONE
424000757264683008	N
398604973627305984	P
433721632624889856	NONE
423241052523200513	P
417504702587105280	N
412770975977992192	P
439579019156008960	P
430692338998837248	N
432940213673811970	NONE
425781688342282242	P
432640491373355009	P
429025463629922304	P
417088399548219392	P
425783264666591232	P
436589588413313025	NONE
432340208722247680	NONE
